[  935828ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[  935996ms] [LOG] [Fast Refresh] done in 276ms @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[  938704ms] [WARNING] The resource http://localhost:3000/flinttype-logo.svg was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/sign-in:0
[  944036ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[  944067ms] [LOG] [Fast Refresh] done in 135ms @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[  944255ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[  944307ms] [LOG] [Fast Refresh] done in 162ms @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[  944427ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[  944577ms] [LOG] [Fast Refresh] done in 255ms @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[  946430ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[  946589ms] [LOG] [Fast Refresh] done in 265ms @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[  947311ms] [WARNING] The resource http://localhost:3000/flinttype-logo.svg was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/sign-in:0
[ 1063893ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[ 1064241ms] [LOG] [Fast Refresh] done in 450ms @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[ 1064453ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[ 1064544ms] [LOG] [Fast Refresh] done in 203ms @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[ 1064751ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[ 1065084ms] [LOG] [Fast Refresh] done in 446ms @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
